Id,Type,Zoning Class,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Nbhd,Location Condition,Bldg Type,House Style,OvQual,Overall Cond,Built,Year Remod Add,Roof Style,Roof Material,Exterior Primary,Masonry/Veneer,Masonry/Veneer Area,Exterior Qual,Exterior Cond,Foundation,Basement Height,Basement Cond,Basement Exposure,Basement Finish,Basement Finished Area,Basement Unfinished Area,Basement Area,Heating Qual,CentralAir,Electrical,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Functionality,Fireplaces,Fireplce Qual,Garage Type,Garage Yr Built,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Pool Qual,Fence,Sale Type,Sale Condition,Sale Price
11,1-STORY 1946 & NEWER,Resid Low Density,70,11200,NA,Regular,Level,Inside lot,Gentle,Sawyer,Normal,1-family Detached,1 story,5,5,1965,1965,Hip,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,906,134,1040,Excellent,Y,Standard Circuit Breakers & Romex,1040,0,1040,1,0,1,0,3,1,Average,5,Typical Functionality,0,No Fireplace,Detached from home,1965,Unfinished,1,384,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,129500
12,2-STORY 1946 & NEWER,Resid Low Density,85,11924,NA,Slightly irregular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,2 story,9,5,2005,2006,Hip,Composite Shingle,Wood Shingles,Stone,286,Excellent,Average,Poured Contrete,"Excellent (100+"")",Average,No Exposure,Good Living Quarters,998,177,1175,Excellent,Y,Standard Circuit Breakers & Romex,1182,1142,2324,1,0,3,0,4,1,Excellent,11,Typical Functionality,2,Good,Built-In (Garage with Room),2005,Finished,3,736,Average,Average,Paved ,147,21,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),345000
13,1-STORY 1946 & NEWER,Resid Low Density,NA,12968,NA,Irregular,Level,Inside lot,Gentle,Sawyer,Normal,1-family Detached,1 story,5,6,1962,1962,Hip,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,737,175,912,Average,Y,Standard Circuit Breakers & Romex,912,0,912,1,0,1,0,2,1,Average,4,Typical Functionality,0,No Fireplace,Detached from home,1962,Unfinished,1,352,Average,Average,Paved ,140,0,0,0,176,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,144000
14,1-STORY 1946 & NEWER,Resid Low Density,91,10652,NA,Slightly irregular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,1 story,7,5,2006,2007,Gable,Composite Shingle,Vinyl Siding,Stone,306,Good,Average,Poured Contrete,"Good (90-99"")",Average,Avg Exposure,Unfinshed,0,1494,1494,Excellent,Y,Standard Circuit Breakers & Romex,1494,0,1494,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2006,Rough Finished,3,840,Average,Average,Paved ,160,33,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),279500
15,1-STORY 1946 & NEWER,Resid Low Density,NA,10920,NA,Slightly irregular,Level,Corner lot,Gentle,North Ames,Normal,1-family Detached,1 story,6,5,1960,1960,Hip,Composite Shingle,Metal Siding,Brick Face,212,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,733,520,1253,Average,Y,Standard Circuit Breakers & Romex,1253,0,1253,1,0,1,1,2,1,Average,5,Typical Functionality,1,Fair,Attached to home,1960,Rough Finished,1,352,Average,Average,Paved ,0,213,176,0,0,0,No Pool,Good Wood,Warranty Deed - Conventional,Normal Sale,157000
17,1-STORY 1946 & NEWER,Resid Low Density,NA,11241,NA,Slightly irregular,Level,Cul-de-sac,Gentle,North Ames,Normal,1-family Detached,1 story,6,7,1970,1970,Gable,Composite Shingle,Wood Siding,Brick Face,180,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,578,426,1004,Excellent,Y,Standard Circuit Breakers & Romex,1004,0,1004,1,0,1,0,2,1,Average,5,Typical Functionality,1,Average,Attached to home,1970,Finished,2,480,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,149000
18,DUPLEX,Resid Low Density,72,10791,NA,Regular,Level,Inside lot,Gentle,Sawyer,Normal,Duplex,1 story,4,5,1967,1967,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Slab,No Basement,No Basement,No Basement,No Basement,0,0,0,Average,Y,Standard Circuit Breakers & Romex,1296,0,1296,0,0,2,0,2,2,Average,6,Typical Functionality,0,No Fireplace,Car Port,1967,Unfinished,2,516,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,90000
19,1-STORY 1946 & NEWER,Resid Low Density,66,13695,NA,Regular,Level,Inside lot,Gentle,Sawyer West,Adjacent Railroad,1-family Detached,1 story,5,5,2004,2004,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Poured Contrete,"Typical (80-89"")",Average,No Exposure,Good Living Quarters,646,468,1114,Excellent,Y,Standard Circuit Breakers & Romex,1114,0,1114,1,0,1,1,3,1,Good,6,Typical Functionality,0,No Fireplace,Detached from home,2004,Unfinished,2,576,Average,Average,Paved ,0,102,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,159000
20,1-STORY 1946 & NEWER,Resid Low Density,70,7560,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,6,1958,1965,Hip,Composite Shingle,Brick Face,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Low Quality,504,525,1029,Average,Y,Standard Circuit Breakers & Romex,1339,0,1339,0,0,1,0,3,1,Average,6,Minor Deductions 1,0,No Fireplace,Attached to home,1958,Unfinished,1,294,Average,Average,Paved ,0,0,0,0,0,0,No Pool,Minimum Privacy,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",139000
21,2-STORY 1946 & NEWER,Resid Low Density,101,14215,NA,Slightly irregular,Level,Corner lot,Gentle,Northridge Heights,Normal,1-family Detached,2 story,8,5,2005,2006,Gable,Composite Shingle,Vinyl Siding,Brick Face,380,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Avg Exposure,Unfinshed,0,1158,1158,Excellent,Y,Standard Circuit Breakers & Romex,1158,1218,2376,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good,Built-In (Garage with Room),2005,Rough Finished,3,853,Average,Average,Paved ,240,154,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),325300
23,1-STORY 1946 & NEWER,Resid Low Density,75,9742,NA,Regular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,1 story,8,5,2002,2002,Hip,Composite Shingle,Vinyl Siding,Brick Face,281,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,1777,1777,Excellent,Y,Standard Circuit Breakers & Romex,1795,0,1795,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2002,Rough Finished,2,534,Average,Average,Paved ,171,159,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,230000
24,1-STORY PUD,Resid Med Density,44,4224,NA,Regular,Level,Inside lot,Gentle,Meadow Village,Normal,Townhouse End Unit,1 story,5,7,1976,1976,Gable,Composite Shingle,Cement Board,None,0,Average,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,840,200,1040,Average,Y,Standard Circuit Breakers & Romex,1060,0,1060,1,0,1,0,3,1,Average,6,Typical Functionality,1,Average,Attached to home,1976,Unfinished,2,572,Average,Average,Paved ,100,110,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,129900
25,1-STORY 1946 & NEWER,Resid Low Density,NA,8246,NA,Slightly irregular,Level,Inside lot,Gentle,Sawyer,Normal,1-family Detached,1 story,5,8,1968,2001,Gable,Composite Shingle,Plywood,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,Min Exposure,Avg Rec Room,188,204,1060,Excellent,Y,Standard Circuit Breakers & Romex,1060,0,1060,1,0,1,0,3,1,Good,6,Typical Functionality,1,Average,Attached to home,1968,Unfinished,1,270,Average,Average,Paved ,406,90,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,154000
26,1-STORY 1946 & NEWER,Resid Low Density,110,14230,NA,Regular,Level,Corner lot,Gentle,Northridge Heights,Normal,1-family Detached,1 story,8,5,2007,2007,Gable,Composite Shingle,Vinyl Siding,Stone,640,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,1566,1566,Excellent,Y,Standard Circuit Breakers & Romex,1600,0,1600,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2007,Rough Finished,3,890,Average,Average,Paved ,0,56,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,256300
27,1-STORY 1946 & NEWER,Resid Low Density,60,7200,NA,Regular,Level,Corner lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,7,1951,2000,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,Min Exposure,Below Avg Living Quarters,234,180,900,Average,Y,Standard Circuit Breakers & Romex,900,0,900,0,1,1,0,3,1,Good,5,Typical Functionality,0,No Fireplace,Detached from home,2005,Unfinished,2,576,Average,Average,Paved ,222,32,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,134800
28,1-STORY 1946 & NEWER,Resid Low Density,98,11478,NA,Regular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,1 story,8,5,2007,2008,Gable,Composite Shingle,Vinyl Siding,Stone,200,Good,Average,Poured Contrete,"Excellent (100+"")",Average,No Exposure,Good Living Quarters,1218,486,1704,Excellent,Y,Standard Circuit Breakers & Romex,1704,0,1704,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2008,Rough Finished,3,772,Average,Average,Paved ,0,50,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,306000
29,1-STORY 1946 & NEWER,Resid Low Density,47,16321,NA,Slightly irregular,Level,Cul-de-sac,Gentle,North Ames,Normal,1-family Detached,1 story,5,6,1957,1997,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,Good Exposure,Below Avg Living Quarters,1277,207,1484,Average,Y,Standard Circuit Breakers & Romex,1600,0,1600,1,0,1,0,2,1,Average,6,Typical Functionality,2,Good,Attached to home,1957,Rough Finished,1,319,Average,Average,Paved ,288,258,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,207500
30,1-STORY 1945 & OLDER,Resid Med Density,60,6324,NA,Slightly irregular,Level,Inside lot,Gentle,Brookside,Near Railroad,1-family Detached,1 story,4,6,1927,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,520,520,Fair,N,Standard Circuit Breakers & Romex,520,0,520,0,0,1,0,1,1,Fair,4,Typical Functionality,0,No Fireplace,Detached from home,1920,Unfinished,1,240,Fair,Average,Paved ,49,0,87,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,68500
31,2-STORY 1945 & OLDER,Commercial,50,8500,Pave,Regular,Level,Inside lot,Gentle,Iowa DOT and Rail Road,Adjacent Feeder St,1-family Detached,2 story,4,4,1920,1950,Gambrel,Composite Shingle,Brick Face,None,0,Average,Fair,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,649,649,Average,N,Standard Circuit Breakers & Romex,649,668,1317,0,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Detached from home,1920,Unfinished,1,250,Average,Fair,Dirt/Gravel,0,54,172,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,40000
32,1-STORY 1946 & NEWER,Resid Low Density,NA,8544,NA,Slightly irregular,Level,Cul-de-sac,Gentle,Sawyer,Normal,1-family Detached,1 story,5,6,1966,2006,Gable,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,1228,1228,Good,Y,Standard Circuit Breakers & Romex,1228,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,No Fireplace,Attached to home,1966,Unfinished,1,271,Average,Average,Paved ,0,65,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,149350
33,1-STORY 1946 & NEWER,Resid Low Density,85,11049,NA,Regular,Level,Corner lot,Gentle,College Creek,Normal,1-family Detached,1 story,8,5,2007,2007,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Avg Exposure,Unfinshed,0,1234,1234,Excellent,Y,Standard Circuit Breakers & Romex,1234,0,1234,0,0,2,0,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to home,2007,Rough Finished,2,484,Average,Average,Paved ,0,30,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,179900
34,1-STORY 1946 & NEWER,Resid Low Density,70,10552,NA,Slightly irregular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,5,1959,1959,Hip,Composite Shingle,Brick Face,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,1018,380,1398,Good,Y,Standard Circuit Breakers & Romex,1700,0,1700,0,1,1,1,4,1,Good,6,Typical Functionality,1,Good,Attached to home,1959,Rough Finished,2,447,Average,Average,Paved ,0,38,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,165500
35,1-STORY PUD,Resid Low Density,60,7313,NA,Regular,Level,Inside lot,Gentle,Northridge Heights,Normal,Townhouse End Unit,1 story,9,5,2005,2005,Hip,Composite Shingle,Metal Siding,Brick Face,246,Excellent,Average,Poured Contrete,"Excellent (100+"")",Average,No Exposure,Good Living Quarters,1153,408,1561,Excellent,Y,Standard Circuit Breakers & Romex,1561,0,1561,1,0,2,0,2,1,Excellent,6,Typical Functionality,1,Good,Attached to home,2005,Finished,2,556,Average,Average,Paved ,203,47,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,277500
36,2-STORY 1946 & NEWER,Resid Low Density,108,13418,NA,Regular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,2 story,8,5,2004,2005,Gable,Composite Shingle,Vinyl Siding,Stone,132,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Avg Exposure,Unfinshed,0,1117,1117,Excellent,Y,Standard Circuit Breakers & Romex,1132,1320,2452,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good,Built-In (Garage with Room),2004,Finished,3,691,Average,Average,Paved ,113,32,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,309000
37,1-STORY 1946 & NEWER,Resid Low Density,112,10859,NA,Regular,Level,Corner lot,Gentle,College Creek,Normal,1-family Detached,1 story,5,5,1994,1995,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,1097,1097,Excellent,Y,Standard Circuit Breakers & Romex,1097,0,1097,0,0,1,1,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1995,Unfinished,2,672,Average,Average,Paved ,392,64,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,145000
38,1-STORY 1946 & NEWER,Resid Low Density,74,8532,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,6,1954,1990,Hip,Composite Shingle,Wood Siding,Brick Face,650,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,1213,84,1297,Good,Y,Standard Circuit Breakers & Romex,1297,0,1297,0,1,1,0,3,1,Average,5,Typical Functionality,1,Average,Attached to home,1954,Finished,2,498,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,153000
39,1-STORY 1946 & NEWER,Resid Low Density,68,7922,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,7,1953,2007,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,No Exposure,Good Living Quarters,731,326,1057,Average,Y,Standard Circuit Breakers & Romex,1057,0,1057,1,0,1,0,3,1,Good,5,Typical Functionality,0,No Fireplace,Detached from home,1953,Unfinished,1,246,Average,Average,Paved ,0,52,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",109000
41,1-STORY 1946 & NEWER,Resid Low Density,84,8658,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,6,5,1965,1965,Gable,Composite Shingle,Wood Siding,Brick Face,101,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,643,445,1088,Excellent,Y,Standard Circuit Breakers & Romex,1324,0,1324,0,0,2,0,3,1,Average,6,Typical Functionality,1,Average,Attached to home,1965,Rough Finished,2,440,Average,Average,Paved ,0,138,0,0,0,0,No Pool,Good Wood,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",160000
42,1-STORY 1946 & NEWER,Resid Low Density,115,16905,NA,Regular,Level,Inside lot,Gentle,Timberland,Normal,1-family Detached,1 story,5,6,1959,1959,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,Good Exposure,Below Avg Living Quarters,967,383,1350,Good,Y,Standard Circuit Breakers & Romex,1328,0,1328,0,1,1,1,2,1,Average,5,Typical Functionality,2,Good,Attached to home,1959,Rough Finished,1,308,Average,Average,Partial Pavement,0,104,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,170000
43,SPLIT FOYER,Resid Low Density,NA,9180,NA,Slightly irregular,Level,Cul-de-sac,Gentle,Sawyer West,Normal,1-family Detached,Split Foyer,5,7,1983,1983,Gable,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,Avg Exposure,Avg Living Quarters,747,0,840,Good,Y,Standard Circuit Breakers & Romex,884,0,884,1,0,1,0,2,1,Good,5,Typical Functionality,0,No Fireplace,Attached to home,1983,Rough Finished,2,504,Average,Good,Paved ,240,0,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,144000
44,1-STORY 1946 & NEWER,Resid Low Density,NA,9200,NA,Slightly irregular,Level,Cul-de-sac,Gentle,College Creek,Normal,1-family Detached,1 story,5,6,1975,1980,Hip,Composite Shingle,Vinyl Siding,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,Avg Exposure,Low Quality,280,167,938,Average,Y,Standard Circuit Breakers & Romex,938,0,938,1,0,1,0,3,1,Average,5,Typical Functionality,0,No Fireplace,Detached from home,1977,Unfinished,1,308,Average,Average,Paved ,145,0,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,130250
45,1-STORY 1946 & NEWER,Resid Low Density,70,7945,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,6,1959,1959,Gable,Composite Shingle,Brick Face,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,179,465,1150,Excellent,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1150,0,1150,1,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1959,Rough Finished,1,300,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,141000
