Id,Dwelling Type,Lot Frontage,Lot Area,Alley,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,Basement Area,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Yr Built,Garage Finish,Garage Cars,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Sale Condition,Sale Price
13,1-STORY 1946 & NEWER,,12968,,Level,Sawyer,Normal,5,6,1962,0.0,737,175,912,912,0,912,1,0,1,0,2,1,Average,4,0,1962.0,Unfinished,1,140,0,0,0,176,0,Normal Sale,144000
14,1-STORY 1946 & NEWER,91.0,10652,,Level,College Creek,Normal,7,5,2006,306.0,0,1494,1494,1494,0,1494,0,0,2,0,3,1,Good,7,1,2006.0,Rough Finished,3,160,33,0,0,0,0,Home was not completed when last assessed (associated with New Homes),279500
15,1-STORY 1946 & NEWER,,10920,,Level,North Ames,Normal,6,5,1960,212.0,733,520,1253,1253,0,1253,1,0,1,1,2,1,Average,5,1,1960.0,Rough Finished,1,0,213,176,0,0,0,Normal Sale,157000
17,1-STORY 1946 & NEWER,,11241,,Level,North Ames,Normal,6,7,1970,180.0,578,426,1004,1004,0,1004,1,0,1,0,2,1,Average,5,1,1970.0,Finished,2,0,0,0,0,0,0,Normal Sale,149000
18,DUPLEX,72.0,10791,,Level,Sawyer,Normal,4,5,1967,0.0,0,0,0,1296,0,1296,0,0,2,0,2,2,Average,6,0,1967.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,90000
19,1-STORY 1946 & NEWER,66.0,13695,,Level,Sawyer West,Adjacent Railroad,5,5,2004,0.0,646,468,1114,1114,0,1114,1,0,1,1,3,1,Good,6,0,2004.0,Unfinished,2,0,102,0,0,0,0,Normal Sale,159000
20,1-STORY 1946 & NEWER,70.0,7560,,Level,North Ames,Normal,5,6,1958,0.0,504,525,1029,1339,0,1339,0,0,1,0,3,1,Average,6,0,1958.0,Unfinished,1,0,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",139000
21,2-STORY 1946 & NEWER,101.0,14215,,Level,Northridge Heights,Normal,8,5,2005,380.0,0,1158,1158,1158,1218,2376,0,0,3,1,4,1,Good,9,1,2005.0,Rough Finished,3,240,154,0,0,0,0,Home was not completed when last assessed (associated with New Homes),325300
23,1-STORY 1946 & NEWER,75.0,9742,,Level,College Creek,Normal,8,5,2002,281.0,0,1777,1777,1795,0,1795,0,0,2,0,3,1,Good,7,1,2002.0,Rough Finished,2,171,159,0,0,0,0,Normal Sale,230000
24,1-STORY PUD,44.0,4224,,Level,Meadow Village,Normal,5,7,1976,0.0,840,200,1040,1060,0,1060,1,0,1,0,3,1,Average,6,1,1976.0,Unfinished,2,100,110,0,0,0,0,Normal Sale,129900
25,1-STORY 1946 & NEWER,,8246,,Level,Sawyer,Normal,5,8,1968,0.0,188,204,1060,1060,0,1060,1,0,1,0,3,1,Good,6,1,1968.0,Unfinished,1,406,90,0,0,0,0,Normal Sale,154000
26,1-STORY 1946 & NEWER,110.0,14230,,Level,Northridge Heights,Normal,8,5,2007,640.0,0,1566,1566,1600,0,1600,0,0,2,0,3,1,Good,7,1,2007.0,Rough Finished,3,0,56,0,0,0,0,Normal Sale,256300
27,1-STORY 1946 & NEWER,60.0,7200,,Level,North Ames,Normal,5,7,1951,0.0,234,180,900,900,0,900,0,1,1,0,3,1,Good,5,0,2005.0,Unfinished,2,222,32,0,0,0,0,Normal Sale,134800
28,1-STORY 1946 & NEWER,98.0,11478,,Level,Northridge Heights,Normal,8,5,2007,200.0,1218,486,1704,1704,0,1704,1,0,2,0,3,1,Good,7,1,2008.0,Rough Finished,3,0,50,0,0,0,0,Normal Sale,306000
29,1-STORY 1946 & NEWER,47.0,16321,,Level,North Ames,Normal,5,6,1957,0.0,1277,207,1484,1600,0,1600,1,0,1,0,2,1,Average,6,2,1957.0,Rough Finished,1,288,258,0,0,0,0,Normal Sale,207500
30,1-STORY 1945 & OLDER,60.0,6324,,Level,Brookside,Near Railroad,4,6,1927,0.0,0,520,520,520,0,520,0,0,1,0,1,1,Fair,4,0,1920.0,Unfinished,1,49,0,87,0,0,0,Normal Sale,68500
31,2-STORY 1945 & OLDER,50.0,8500,Pave,Level,Iowa DOT and Rail Road,Adjacent Feeder St,4,4,1920,0.0,0,649,649,649,668,1317,0,0,1,0,3,1,Average,6,0,1920.0,Unfinished,1,0,54,172,0,0,0,Normal Sale,40000
32,1-STORY 1946 & NEWER,,8544,,Level,Sawyer,Normal,5,6,1966,0.0,0,1228,1228,1228,0,1228,0,0,1,1,3,1,Good,6,0,1966.0,Unfinished,1,0,65,0,0,0,0,Normal Sale,149350
33,1-STORY 1946 & NEWER,85.0,11049,,Level,College Creek,Normal,8,5,2007,0.0,0,1234,1234,1234,0,1234,0,0,2,0,3,1,Good,7,0,2007.0,Rough Finished,2,0,30,0,0,0,0,Normal Sale,179900
34,1-STORY 1946 & NEWER,70.0,10552,,Level,North Ames,Normal,5,5,1959,0.0,1018,380,1398,1700,0,1700,0,1,1,1,4,1,Good,6,1,1959.0,Rough Finished,2,0,38,0,0,0,0,Normal Sale,165500
35,1-STORY PUD,60.0,7313,,Level,Northridge Heights,Normal,9,5,2005,246.0,1153,408,1561,1561,0,1561,1,0,2,0,2,1,Excellent,6,1,2005.0,Finished,2,203,47,0,0,0,0,Normal Sale,277500
36,2-STORY 1946 & NEWER,108.0,13418,,Level,Northridge Heights,Normal,8,5,2004,132.0,0,1117,1117,1132,1320,2452,0,0,3,1,4,1,Good,9,1,2004.0,Finished,3,113,32,0,0,0,0,Normal Sale,309000
37,1-STORY 1946 & NEWER,112.0,10859,,Level,College Creek,Normal,5,5,1994,0.0,0,1097,1097,1097,0,1097,0,0,1,1,3,1,Average,6,0,1995.0,Unfinished,2,392,64,0,0,0,0,Normal Sale,145000
38,1-STORY 1946 & NEWER,74.0,8532,,Level,North Ames,Normal,5,6,1954,650.0,1213,84,1297,1297,0,1297,0,1,1,0,3,1,Average,5,1,1954.0,Finished,2,0,0,0,0,0,0,Normal Sale,153000
39,1-STORY 1946 & NEWER,68.0,7922,,Level,North Ames,Normal,5,7,1953,0.0,731,326,1057,1057,0,1057,1,0,1,0,3,1,Good,5,0,1953.0,Unfinished,1,0,52,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",109000
41,1-STORY 1946 & NEWER,84.0,8658,,Level,North Ames,Normal,6,5,1965,101.0,643,445,1088,1324,0,1324,0,0,2,0,3,1,Average,6,1,1965.0,Rough Finished,2,0,138,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",160000
42,1-STORY 1946 & NEWER,115.0,16905,,Level,Timberland,Normal,5,6,1959,0.0,967,383,1350,1328,0,1328,0,1,1,1,2,1,Average,5,2,1959.0,Rough Finished,1,0,104,0,0,0,0,Normal Sale,170000
43,SPLIT FOYER,,9180,,Level,Sawyer West,Normal,5,7,1983,0.0,747,0,840,884,0,884,1,0,1,0,2,1,Good,5,0,1983.0,Rough Finished,2,240,0,0,0,0,0,Normal Sale,144000
44,1-STORY 1946 & NEWER,,9200,,Level,College Creek,Normal,5,6,1975,0.0,280,167,938,938,0,938,1,0,1,0,3,1,Average,5,0,1977.0,Unfinished,1,145,0,0,0,0,0,Normal Sale,130250
45,1-STORY 1946 & NEWER,70.0,7945,,Level,North Ames,Normal,5,6,1959,0.0,179,465,1150,1150,0,1150,1,0,1,0,3,1,Average,6,0,1959.0,Rough Finished,1,0,0,0,0,0,0,Normal Sale,141000
46,1-STORY PUD,61.0,7658,,Level,Northridge Heights,Normal,9,5,2005,412.0,456,1296,1752,1752,0,1752,1,0,2,0,2,1,Excellent,6,1,2005.0,Rough Finished,2,196,82,0,0,0,0,Normal Sale,319900
47,1-1/2 STORY ALL AGES,48.0,12822,,Level,Mitchell,Normal,7,5,2003,0.0,1351,83,1434,1518,631,2149,1,0,1,1,1,1,Good,6,1,2003.0,Rough Finished,2,168,43,0,0,198,0,"Abnormal Sale -  trade, foreclosure, short sale",239686
48,1-STORY 1946 & NEWER,84.0,11096,,Level,Somerset,Normal,8,5,2006,0.0,24,1632,1656,1656,0,1656,0,0,2,0,3,1,Good,7,0,2006.0,Rough Finished,3,0,146,0,0,0,0,Normal Sale,249700
49,2 FAMILY CONVERSION,33.0,4456,,Level,Old Town,Normal,4,5,1920,0.0,0,736,736,736,716,1452,0,0,2,0,2,3,Average,8,0,,No Garage,0,0,0,102,0,0,0,Home was not completed when last assessed (associated with New Homes),113000
50,1-STORY 1946 & NEWER,66.0,7742,,Level,Sawyer,Normal,5,7,1966,0.0,763,192,955,955,0,955,1,0,1,0,3,1,Average,6,0,1966.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,127000
51,2-STORY 1946 & NEWER,,13869,,Level,Gilbert,Normal,6,6,1997,0.0,182,612,794,794,676,1470,0,1,2,0,3,1,Average,6,0,1997.0,Finished,2,0,75,0,0,0,0,Normal Sale,177000
52,1-1/2 STORY ALL AGES,52.0,6240,,Level,Brookside,Normal,6,6,1934,0.0,0,816,816,816,0,1176,0,0,1,0,3,1,Average,6,1,1985.0,Unfinished,2,112,0,0,0,0,0,Normal Sale,114500
53,DUPLEX,110.0,8472,,Banked,Iowa DOT and Rail Road,Near Railroad,5,5,1963,0.0,104,0,816,816,0,816,1,0,1,0,2,1,Average,5,0,1963.0,Unfinished,2,106,0,0,0,0,0,Normal Sale,110000
54,1-STORY 1946 & NEWER,68.0,50271,,Depression,Veenker,Normal,9,5,1981,0.0,1810,32,1842,1842,0,1842,2,0,0,1,0,1,Good,5,1,1981.0,Finished,3,857,72,0,0,0,0,Normal Sale,385000
55,SPLIT OR MULTI-LEVEL,60.0,7134,,Banked,North Ames,Normal,5,5,1955,0.0,384,0,384,1360,0,1360,0,0,1,0,3,1,Average,6,1,1962.0,Unfinished,2,0,50,0,0,0,0,Normal Sale,130000
56,1-STORY 1946 & NEWER,100.0,10175,,Level,North Ames,Normal,6,5,1964,272.0,490,935,1425,1425,0,1425,0,0,2,0,3,1,Average,7,1,1964.0,Rough Finished,2,0,0,0,407,0,0,Normal Sale,180500
57,2-STORY PUD,24.0,2645,Pave,Level,Somerset,Normal,8,5,1999,456.0,649,321,970,983,756,1739,1,0,2,1,3,1,Good,7,0,1999.0,Finished,2,115,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",172500
58,2-STORY 1946 & NEWER,89.0,11645,,Level,College Creek,Normal,7,5,2004,0.0,0,860,860,860,860,1720,0,0,2,1,3,1,Good,7,0,2004.0,Rough Finished,2,0,70,0,0,0,0,Normal Sale,196500
59,2-STORY 1946 & NEWER,66.0,13682,,Hillside,Stone Brook,Normal,10,5,2006,1031.0,0,1410,1410,1426,1519,2945,0,0,3,1,3,1,Good,10,1,2006.0,Finished,3,192,0,37,0,0,0,Home was not completed when last assessed (associated with New Homes),438780
60,1-STORY 1946 & NEWER,60.0,7200,,Banked,College Creek,Normal,5,7,1972,0.0,632,148,780,780,0,780,0,0,1,0,2,1,Average,4,0,1973.0,Unfinished,1,196,0,0,0,0,0,Normal Sale,124900
61,1-STORY 1946 & NEWER,63.0,13072,,Level,Sawyer West,Adjacent Railroad,6,5,2004,0.0,941,217,1158,1158,0,1158,1,0,1,1,3,1,Good,5,0,2006.0,Unfinished,2,0,50,0,0,0,0,Home was not completed when last assessed (associated with New Homes),158000
62,2-1/2 STORY ALL AGES,60.0,7200,,Level,Iowa DOT and Rail Road,Normal,5,7,1920,0.0,0,530,530,581,530,1111,0,0,1,0,3,1,Fair,6,0,1935.0,Unfinished,1,0,0,144,0,0,0,Normal Sale,101000
63,1-STORY PUD,44.0,6442,,Level,Northridge Heights,Normal,8,5,2006,178.0,24,1346,1370,1370,0,1370,0,0,2,0,2,1,Good,6,1,2006.0,Rough Finished,2,120,49,0,0,0,0,Normal Sale,202500
64,2-STORY 1945 & OLDER,50.0,10300,,Banked,Old Town,Adjacent Railroad,7,6,1921,0.0,0,576,576,902,808,1710,0,0,2,0,3,1,Average,9,0,1990.0,Unfinished,2,12,11,64,0,0,0,Normal Sale,140000
65,2-STORY 1946 & NEWER,,9375,,Level,College Creek,Normal,7,5,1997,573.0,739,318,1057,1057,977,2034,1,0,2,1,3,1,Good,8,0,1998.0,Rough Finished,2,576,36,0,0,0,0,Normal Sale,219500
66,2-STORY 1946 & NEWER,76.0,9591,,Level,Northridge Heights,Normal,8,5,2004,344.0,0,1143,1143,1143,1330,2473,0,0,2,1,4,1,Good,9,1,2004.0,Rough Finished,3,192,151,0,0,0,0,Normal Sale,317000
67,1-STORY 1946 & NEWER,,19900,,Level,North Ames,Adjacent Pos Feature,7,5,1970,287.0,912,1035,1947,2207,0,2207,1,0,2,0,3,1,Average,7,1,1970.0,Rough Finished,2,301,0,0,0,0,0,Normal Sale,180000
68,1-STORY 1946 & NEWER,72.0,10665,,Level,College Creek,Normal,7,5,2003,167.0,1013,440,1453,1479,0,1479,1,0,2,0,3,1,Good,7,0,2003.0,Rough Finished,2,144,29,0,0,0,0,Normal Sale,226000
69,1-STORY 1945 & OLDER,47.0,4608,,Level,Old Town,Adjacent Arterial St,4,6,1945,0.0,0,747,747,747,0,747,0,0,1,0,2,1,Average,4,0,1945.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,80000
70,1-1/2 STORY ALL AGES,81.0,15593,,Level,Clear Creek,Normal,7,4,1953,0.0,603,701,1304,1304,983,2287,0,0,2,0,3,1,Average,7,1,1953.0,Finished,2,0,21,114,0,0,0,Normal Sale,225000
71,1-STORY 1946 & NEWER,95.0,13651,,Level,North Ames,Normal,7,6,1973,1115.0,1880,343,2223,2223,0,2223,1,0,2,0,3,1,Average,8,2,1973.0,Finished,2,300,0,0,0,0,0,Normal Sale,244000
72,1-STORY 1946 & NEWER,69.0,7599,,Level,Mitchell,Normal,4,6,1982,0.0,565,280,845,845,0,845,1,0,1,0,2,1,Average,4,0,1987.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,129500
73,2-STORY 1946 & NEWER,74.0,10141,,Level,Gilbert,Normal,7,5,1998,40.0,0,832,832,885,833,1718,0,0,2,1,3,1,Average,7,1,1998.0,Finished,2,0,94,0,0,291,0,Normal Sale,185000
74,1-STORY 1946 & NEWER,85.0,10200,,Level,North Ames,Normal,5,7,1954,104.0,320,404,1086,1086,0,1086,1,0,1,0,3,1,Average,6,0,1989.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,144900
75,1-1/2 STORY ALL AGES,60.0,5790,,Level,Old Town,Normal,3,6,1915,0.0,0,840,840,840,765,1605,0,0,2,0,3,2,Average,8,0,1915.0,Unfinished,1,0,0,202,0,0,0,Normal Sale,107400
77,1-STORY 1946 & NEWER,,8475,,Level,North Ames,Normal,4,7,1956,0.0,228,724,952,952,0,952,0,0,1,0,2,1,Average,4,0,1956.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,135750
78,1-1/2 STORY ALL AGES,50.0,8635,,Level,Brookside,Normal,5,5,1948,0.0,336,295,672,1072,213,1285,1,0,1,0,2,1,Average,6,0,1948.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,127000
79,DUPLEX,72.0,10778,,Level,Sawyer,Normal,4,5,1968,0.0,0,1768,1768,1768,0,1768,0,0,2,0,4,2,Average,8,0,,No Garage,0,0,0,0,0,0,0,Normal Sale,136500
80,1-1/2 STORY ALL AGES,60.0,10440,Grvl,Level,Old Town,Normal,5,6,1910,0.0,0,440,440,682,548,1230,0,0,1,1,2,1,Average,5,0,1966.0,Unfinished,2,74,0,128,0,0,0,Normal Sale,110000
81,2-STORY 1946 & NEWER,100.0,13000,,Level,North Ames,Normal,6,6,1968,576.0,448,448,896,1182,960,2142,0,0,2,1,4,1,Good,8,1,1968.0,Finished,1,0,72,0,0,252,0,Normal Sale,193500
82,1-STORY PUD,32.0,4500,,Level,Mitchell,Normal,6,5,1998,443.0,1201,36,1237,1337,0,1337,1,0,2,0,2,1,Average,5,0,1998.0,Finished,2,0,199,0,0,0,0,Normal Sale,153500
83,1-STORY 1946 & NEWER,78.0,10206,,Level,Somerset,Normal,8,5,2007,468.0,33,1530,1563,1563,0,1563,0,0,2,0,3,1,Good,6,1,2007.0,Rough Finished,3,144,99,0,0,0,0,Normal Sale,245000
84,1-STORY 1946 & NEWER,80.0,8892,,Level,North Ames,Normal,5,5,1960,66.0,0,1065,1065,1065,0,1065,0,0,1,1,3,1,Average,6,0,1974.0,Unfinished,2,74,0,0,0,0,0,Normal Sale,126500
85,SPLIT OR MULTI-LEVEL,,8530,,Level,Gilbert,Normal,7,5,1995,22.0,0,384,384,804,670,1474,0,0,2,1,3,1,Average,7,1,1995.0,Finished,2,120,72,0,0,0,0,Normal Sale,168500
86,2-STORY 1946 & NEWER,121.0,16059,,Level,Northridge,Normal,8,5,1991,284.0,0,1288,1288,1301,1116,2417,0,0,2,1,4,1,Good,9,1,1991.0,Unfinished,2,127,82,0,0,0,0,Normal Sale,260000
87,2-STORY 1946 & NEWER,122.0,11911,,Level,Gilbert,Normal,6,5,2005,0.0,0,684,684,684,876,1560,0,0,2,1,3,1,Good,6,1,2005.0,Finished,2,100,38,0,0,0,0,Normal Sale,174000
88,2-STORY PUD,40.0,3951,Pave,Level,Somerset,Normal,6,5,2009,76.0,0,612,612,612,612,1224,0,0,2,1,2,1,Good,4,0,2009.0,Rough Finished,2,0,234,0,0,0,0,Home was not completed when last assessed (associated with New Homes),164500
89,1-1/2 STORY ALL AGES,105.0,8470,,Level,Iowa DOT and Rail Road,Adjacent Feeder St,3,2,1915,0.0,0,1013,1013,1013,0,1526,0,0,1,0,2,1,Fair,6,0,,No Garage,0,0,0,156,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",85000
90,1-STORY 1946 & NEWER,60.0,8070,,Level,College Creek,Normal,4,5,1994,0.0,588,402,990,990,0,990,1,0,1,0,3,1,Average,5,0,,No Garage,0,0,0,0,0,0,0,Normal Sale,123600
91,1-STORY 1946 & NEWER,60.0,7200,,Level,North Ames,Normal,4,5,1950,0.0,0,0,0,1040,0,1040,0,0,1,0,2,1,Average,4,0,1950.0,Unfinished,2,0,29,0,0,0,0,Normal Sale,109900
92,1-STORY 1946 & NEWER,85.0,8500,,Level,North Ames,Normal,5,3,1961,203.0,600,635,1235,1235,0,1235,0,0,1,0,2,1,Average,6,0,1961.0,Unfinished,2,0,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",98600
93,1-STORY 1945 & OLDER,80.0,13360,Grvl,Hillside,Crawford,Normal,5,7,1921,0.0,713,163,876,964,0,964,1,0,1,0,2,1,Average,5,0,1921.0,Unfinished,2,0,0,44,0,0,0,Normal Sale,163500
94,2 FAMILY CONVERSION,60.0,7200,,Level,Old Town,Normal,6,6,1910,0.0,1046,168,1214,1260,1031,2291,0,1,2,0,4,2,Average,9,1,1900.0,Unfinished,2,0,0,0,0,99,0,Normal Sale,133900
95,2-STORY 1946 & NEWER,69.0,9337,,Level,College Creek,Normal,6,5,1997,0.0,648,176,824,905,881,1786,1,0,2,1,3,1,Good,7,0,1997.0,Rough Finished,2,0,162,0,0,0,0,Normal Sale,204750
96,2-STORY 1946 & NEWER,,9765,,Level,Gilbert,Normal,6,8,1993,68.0,310,370,680,680,790,1470,0,0,2,1,3,1,Average,6,1,1993.0,Finished,2,232,63,0,0,0,0,Normal Sale,185000
97,1-STORY 1946 & NEWER,78.0,10264,,Level,College Creek,Normal,7,5,1999,183.0,1162,426,1588,1588,0,1588,0,0,2,0,3,1,Good,6,0,1999.0,Rough Finished,2,158,29,0,0,0,0,Normal Sale,214000
98,1-STORY 1946 & NEWER,73.0,10921,,Hillside,Edwards,Normal,4,5,1965,48.0,520,440,960,960,0,960,1,0,1,0,3,1,Average,6,0,1965.0,Finished,1,120,0,0,0,0,0,Normal Sale,94750
99,1-STORY 1945 & OLDER,85.0,10625,,Level,Edwards,Normal,5,5,1920,0.0,108,350,458,835,0,835,0,0,1,0,2,1,Average,5,0,1920.0,Unfinished,1,0,0,77,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",83000
100,1-STORY 1946 & NEWER,77.0,9320,,Level,North Ames,Normal,4,5,1959,0.0,569,381,950,1225,0,1225,1,0,1,1,3,1,Average,6,0,,No Garage,0,352,0,0,0,0,0,Normal Sale,128950
101,1-STORY 1946 & NEWER,,10603,,Level,Northwest Ames,Normal,6,7,1977,28.0,1200,410,1610,1610,0,1610,1,0,2,0,3,1,Good,6,2,1977.0,Rough Finished,2,168,68,0,0,0,0,Normal Sale,205000
102,2-STORY 1946 & NEWER,77.0,9206,,Level,Sawyer West,Normal,6,5,1985,336.0,0,741,741,977,755,1732,0,0,2,1,3,1,Good,7,1,1985.0,Finished,2,192,46,0,0,0,0,Normal Sale,178000
103,DUPLEX,64.0,7018,,Banked,Sawyer West,Normal,5,5,1979,0.0,0,0,0,1535,0,1535,0,0,2,0,4,2,Average,8,0,1979.0,Unfinished,2,0,0,0,0,0,0,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",118964
104,1-STORY 1946 & NEWER,94.0,10402,,Level,College Creek,Normal,7,5,2009,0.0,0,1226,1226,1226,0,1226,0,0,2,0,3,1,Good,6,0,2009.0,Rough Finished,3,0,36,0,0,0,0,Normal Sale,198900
105,1-1/2 STORY ALL AGES,,7758,,Level,Iowa DOT and Rail Road,Normal,7,4,1931,600.0,224,816,1040,1226,592,1818,0,0,1,1,4,1,Average,7,2,1951.0,Unfinished,1,0,0,0,0,184,0,Normal Sale,169500
106,2-STORY 1946 & NEWER,75.0,9375,,Level,Somerset,Normal,8,5,2003,768.0,0,1053,1053,1053,939,1992,0,0,2,1,3,1,Good,9,1,2003.0,Rough Finished,2,140,45,0,0,0,0,Normal Sale,250000
107,1-STORY 1945 & OLDER,60.0,10800,Grvl,Level,Old Town,Normal,4,7,1885,0.0,0,641,641,1047,0,1047,0,0,1,0,2,1,Average,6,0,1954.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,100000
108,1-STORY 1946 & NEWER,50.0,6000,,Level,Old Town,Normal,5,5,1948,0.0,104,516,789,789,0,789,0,0,1,0,2,1,Average,5,0,1948.0,Unfinished,1,0,0,0,0,0,0,Home was not completed when last assessed (associated with New Homes),115000
109,1-1/2 STORY ALL AGES,85.0,8500,,Level,Iowa DOT and Rail Road,Adjacent Arterial St,5,7,1919,0.0,0,793,793,997,520,1517,0,0,2,0,3,1,Fair,7,0,,No Garage,0,0,0,144,0,0,0,Normal Sale,115000
110,1-STORY 1946 & NEWER,105.0,11751,,Level,Northwest Ames,Normal,6,6,1977,480.0,705,1139,1844,1844,0,1844,0,0,2,0,3,1,Average,7,1,1977.0,Rough Finished,2,0,122,0,0,0,0,Normal Sale,190000
111,1-1/2 STORY ALL AGES,75.0,9525,,Level,Edwards,Normal,6,4,1954,0.0,444,550,994,1216,639,1855,0,0,2,0,4,1,Average,7,0,1954.0,Unfinished,1,182,0,0,0,0,0,Normal Sale,136900
112,SPLIT OR MULTI-LEVEL,,7750,,Level,Gilbert,Normal,7,5,2000,0.0,250,134,384,774,656,1430,0,0,2,1,3,1,Average,7,1,2000.0,Finished,2,180,0,0,0,0,0,Normal Sale,180000
113,2-STORY 1946 & NEWER,77.0,9965,,Level,College Creek,Normal,7,5,2007,220.0,984,280,1264,1282,1414,2696,1,0,2,1,4,1,Excellent,10,1,2007.0,Finished,3,120,184,0,0,168,0,Home was not completed when last assessed (associated with New Homes),383970
114,1-STORY 1946 & NEWER,,21000,,Banked,Crawford,Normal,6,5,1953,184.0,35,905,1809,2259,0,2259,1,0,2,0,3,1,Good,7,2,1953.0,Unfinished,2,166,120,192,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",217000
115,2-STORY 1945 & OLDER,61.0,7259,,Level,Crawford,Normal,6,8,1945,0.0,774,104,1028,1436,884,2320,1,0,2,1,3,1,Good,9,1,1945.0,Unfinished,1,224,0,0,0,0,0,Normal Sale,259500
